,AA,AKo,AKs,AQo,AQs,AJo,AJs,ATo,ATs,A9o,A9s,A8o,A8s,A7o,A7s,A6o,A6s,A5o,A5s,A4o,A4s,A3o,A3s,A2o,A2s,KK,KQo,KQs,KJo,KJs,KTo,KTs,K9o,K9s,K8o,K8s,K7o,K7s,K6o,K6s,K5o,K5s,K4o,K4s,K3o,K3s,K2o,K2s,QQ,QJo,QJs,QTo,QTs,Q9o,Q9s,Q8o,Q8s,Q7o,Q7s,Q6o,Q6s,Q5o,Q5s,Q4o,Q4s,Q3o,Q3s,Q2o,Q2s,JJ,JTo,JTs,J9o,J9s,J8o,J8s,J7o,J7s,J6o,J6s,J5o,J5s,J4o,J4s,J3o,J3s,J2o,J2s,TT,T9o,T9s,T8o,T8s,T7o,T7s,T6o,T6s,T5o,T5s,T4o,T4s,T3o,T3s,T2o,T2s,99,98o,98s,97o,97s,96o,96s,95o,95s,94o,94s,93o,93s,92o,92s,88,87o,87s,86o,86s,85o,85s,84o,84s,83o,83s,82o,82s,77,76o,76s,75o,75s,74o,74s,73o,73s,72o,72s,66,65o,65s,64o,64s,63o,63s,62o,62s,55,54o,54s,53o,53s,52o,52s,44,43o,43s,42o,42s,33,32o,32s,22
AA,0.021731/0.956538/0.021731,0.92514/0.0131583/0.061702,0.872316/0.0125579/0.115126,0.920853/0.0130172/0.0661294,0.868385/0.0124481/0.119167,0.916567/0.012876/0.0705568,0.864454/0.0123383/0.123208,0.912281/0.0127349/0.0749842,0.860523/0.0122286/0.127248,0.930875/0.0138848/0.0552398,0.877756/0.0131343/0.10911,0.926589/0.0137444/0.0596664,0.873825/0.0130246/0.11315,0.926596/0.013747/0.0596569,0.873832/0.0130246/0.113143,0.93088/0.0094769/0.0596434,0.877777/0.00908717/0.113136,0.912316/0.0133243/0.0743593,0.860558/0.0127454/0.126697,0.916617/0.0134896/0.0698937,0.864503/0.0128552/0.122642,0.920917/0.0136712/0.0654119,0.868448/0.012965/0.118587,0.925217/0.0138749/0.060908,0.872393/0.0130748/0.114532,0.817147/0.0046271/0.178226,0.869161/0.00407404/0.126765,0.827266/0.00418296/0.168551,0.864857/0.00393271/0.13121,0.823277/0.00407287/0.17265,0.860553/0.00379138/0.135656,0.819289/0.00396279/0.176748,0.86685/0.00370291/0.129448,0.82532/0.00390001/0.17078,0.879661/0.00356274/0.116776,0.837278/0.00378992/0.158932,0.875369/0.00342579/0.121205,0.83329/0.00367984/0.16303,0.875094/0.00371721/0.121188,0.833041/0.00393592/0.163023,0.877681/0.00409565/0.118223,0.835454/0.00425625/0.16029,0.882/0.00427319/0.113727,0.839456/0.00436634/0.156177,0.886318/0.00447526/0.109207,0.843459/0.00447642/0.152065,0.890636/0.00471032/0.104654,0.847461/0.00458651/0.147952,0.813298/0.00434444/0.182357,0.847376/0.00382759/0.148796,0.806887/0.00397914/0.189134,0.843072/0.00368626/0.153241,0.802898/0.00386906/0.193233,0.849369/0.00359778/0.147033,0.808929/0.00380628/0.187265,0.86218/0.00345762/0.134362,0.820888/0.00369619/0.175416,0.875364/0.00342521/0.121211,0.833297/0.00367984/0.163023,0.87079/0.00357588/0.125634,0.829052/0.00382584/0.167122,0.873377/0.00395432/0.122668,0.831465/0.00414617/0.164388,0.877695/0.00413186/0.118173,0.835468/0.00425625/0.160276,0.882014/0.00433393/0.113652,0.83947/0.00436634/0.156163,0.886332/0.00456899/0.109099,0.843473/0.00447642/0.152051,0.80945/0.00406178/0.186488,0.825592/0.00358114/0.170827,0.786508/0.00377532/0.209717,0.831888/0.00349266/0.164619,0.792539/0.00371254/0.203749,0.8447/0.0033525/0.151948,0.804497/0.00360246/0.1919,0.857883/0.00332009/0.138797,0.816906/0.0035861/0.179508,0.870785/0.0035753/0.12564,0.829059/0.00382584/0.167115,0.869073/0.00381299/0.127114,0.827477/0.00403608/0.168487,0.873391/0.00399053/0.122618,0.831479/0.00414617/0.164374,0.87771/0.0041926/0.118098,0.835482/0.00425625/0.160262,0.882028/0.00442766/0.113545,0.839484/0.00436634/0.156149,0.805601/0.00377912/0.19062,0.814408/0.00338754/0.182205,0.776148/0.00361881/0.220233,0.827219/0.00324738/0.169533,0.788107/0.00350872/0.208384,0.840403/0.00321497/0.156382,0.800516/0.00349237/0.195992,0.853304/0.00347018/0.143225,0.812669/0.00373211/0.183599,0.869068/0.00381241/0.12712,0.827484/0.00403608/0.16848,0.869087/0.0038492/0.127064,0.827491/0.00403608/0.168473,0.873405/0.00405127/0.122543,0.831493/0.00414617/0.16436,0.877724/0.00428633/0.11799,0.835496/0.00425625/0.160248,0.806787/0.00363837/0.189575,0.816204/0.00321321/0.180583,0.777667/0.00347047/0.218862,0.829387/0.0031808/0.167432,0.790076/0.00345412/0.20647,0.842289/0.00343601/0.154275,0.802229/0.00369385/0.194077,0.858052/0.00377824/0.138169,0.817044/0.00399783/0.178958,0.875547/0.00391957/0.120534,0.833449/0.00409156/0.16246,0.875566/0.00398089/0.120453,0.833456/0.00409156/0.162453,0.879884/0.00421596/0.1159,0.837458/0.00420165/0.15834,0.802938/0.00335805/0.193704,0.811907/0.00307685/0.185017,0.773686/0.00336126/0.222953,0.824808/0.00333206/0.17186,0.785839/0.00360129/0.21056,0.840572/0.00367429/0.155754,0.800654/0.00390526/0.195441,0.858066/0.00381562/0.138118,0.817058/0.003999/0.178943,0.875561/0.00398148/0.120458,0.833463/0.00409273/0.162445,0.87558/0.00407579/0.120344,0.83347/0.00409273/0.162438,0.803125/0.00336564/0.193509,0.811639/0.00337206/0.184989,0.773444/0.00362056/0.222936,0.827402/0.00371429/0.168883,0.788259/0.00392541/0.207816,0.844897/0.00385562/0.151247,0.804663/0.00401915/0.191318,0.862392/0.00402148/0.133587,0.821068/0.00411288/0.174819,0.879886/0.00422034/0.115894,0.837472/0.00420661/0.158321,0.802742/0.00366699/0.193591,0.811093/0.00397184/0.184936,0.772936/0.00415113/0.222913,0.828587/0.00411317/0.1673,0.789341/0.00424662/0.206413,0.846082/0.00427903/0.149639,0.805745/0.00434035/0.189915,0.863576/0.00447788/0.131946,0.82215/0.00443408/0.173416,0.806818/0.00413595/0.189046,0.825922/0.00443905/0.169639,0.786795/0.00453658/0.208668,0.843416/0.00460491/0.151979,0.8032/0.00463323/0.192167,0.860911/0.00480376/0.134285,0.819604/0.00472696/0.175669,0.81104/0.00449102/0.184469,0.847734/0.00478245/0.147483,0.807202/0.00477515/0.188022,0.865229/0.0049813/0.12979,0.823607/0.00487326/0.17152,0.815262/0.00489516/0.179842,0.869547/0.00518337/0.12527,0.827609/0.00503182/0.167359,0.819485/0.00536529/0.17515
AKo,0.061702/0.0131583/0.92514,0.0155879/0.968824/0.0155879,0.021731/0.906695/0.0715737,0.720578/0.0467231/0.232699,0.679008/0.0444432/0.276549,0.717367/0.0465994/0.236034,0.676114/0.0443508/0.279536,0.714156/0.0464757/0.239369,0.673219/0.0442583/0.282522,0.718779/0.0472708/0.23395,0.677118/0.0449081/0.277973,0.715657/0.0473373/0.237005,0.674316/0.0450049/0.28068,0.712538/0.0474697/0.239992,0.671504/0.0451651/0.283331,0.717151/0.0435198/0.239329,0.675808/0.0415304/0.282661,0.702084/0.0475315/0.250384,0.661896/0.0453747/0.29273,0.706711/0.048164/0.245125,0.6662/0.0459437/0.287856,0.711339/0.0488814/0.23978,0.670504/0.0465758/0.28292,0.715966/0.0496911/0.234343,0.674808/0.047271/0.277921,0.296956/0.00847747/0.694567,0.741959/0.011561/0.24648,0.698478/0.011512/0.29001,0.738748/0.0114373/0.249815,0.695576/0.0114195/0.293005,0.735537/0.0113135/0.253149,0.692673/0.011327/0.296,0.756327/0.0121718/0.231501,0.711524/0.0120241/0.276452,0.753397/0.0120491/0.234554,0.708941/0.0119317/0.279127,0.750527/0.0119291/0.237544,0.706374/0.0118392/0.281787,0.751024/0.012096/0.23688,0.706899/0.0119827/0.281118,0.755699/0.0125947/0.231707,0.711408/0.0124207/0.276172,0.760768/0.0127856/0.226447,0.716162/0.0125482/0.27129,0.7659/0.0129984/0.221102,0.720978/0.0126757/0.266346,0.771094/0.0132405/0.215665,0.725858/0.0128032/0.261338,0.430313/0.00422034/0.565466,0.645997/0.0046782/0.349324,0.60829/0.0048226/0.386887,0.642544/0.00454388/0.352913,0.605118/0.00471952/0.390162,0.655902/0.00446912/0.339629,0.617662/0.00466988/0.377668,0.664964/0.00433597/0.3307,0.626162/0.0045668/0.369271,0.675215/0.00420588/0.32058,0.635683/0.00446372/0.359853,0.671027/0.00422267/0.32475,0.631812/0.00448869/0.363699,0.674144/0.00471382/0.321142,0.634813/0.00491677/0.36027,0.677976/0.00489837/0.317125,0.638364/0.00503386/0.356603,0.681872/0.00510745/0.313021,0.641977/0.00515095/0.352872,0.68583/0.00534952/0.30882,0.645654/0.00526805/0.349078,0.429459/0.00406382/0.566477,0.628993/0.00444576/0.366561,0.592544/0.00463279/0.402823,0.642352/0.00437101/0.353277,0.605088/0.00458315/0.390328,0.651414/0.00423786/0.344348,0.613588/0.00448007/0.381932,0.661664/0.00410777/0.334228,0.623109/0.004377/0.372514,0.671015/0.0042291/0.324756,0.631812/0.0044957/0.363692,0.67069/0.0045795/0.32473,0.631641/0.00481369/0.363545,0.674522/0.00476405/0.320713,0.635192/0.00493078/0.359878,0.678418/0.00497312/0.316609,0.638805/0.00504788/0.356147,0.682376/0.0052152/0.312409,0.642482/0.00516497/0.352353,0.429278/0.00390731/0.566814,0.628802/0.0042729/0.366925,0.592514/0.00449643/0.402989,0.637864/0.00413974/0.357996,0.601014/0.00439335/0.394593,0.648114/0.00400966/0.347876,0.610535/0.00429027/0.385174,0.657465/0.00413098/0.338404,0.619238/0.00440897/0.376353,0.670678/0.00458593/0.324736,0.631641/0.0048207/0.363538,0.671069/0.00462973/0.324302,0.632019/0.00482771/0.363153,0.674964/0.0048388/0.320197,0.635633/0.0049448/0.359422,0.678922/0.00508087/0.315997,0.63931/0.00506189/0.355628,0.445333/0.00391081/0.550756,0.638564/0.00412164/0.357314,0.601102/0.00436911/0.394529,0.635306/0.00399155/0.360703,0.598178/0.00426604/0.397556,0.644656/0.00411288/0.351231,0.60688/0.00438474/0.388735,0.65787/0.00456782/0.337563,0.619283/0.00479646/0.37592,0.671798/0.00471616/0.323486,0.632236/0.0048972/0.362867,0.672252/0.00478449/0.322964,0.632677/0.00490421/0.362419,0.67621/0.00502656/0.318763,0.636354/0.0050213/0.358625,0.446507/0.00375663/0.549736,0.621951/0.00389461/0.374154,0.585799/0.00418019/0.410021,0.631302/0.00401593/0.364682,0.594502/0.00429918/0.401199,0.644515/0.00447088/0.351014,0.606905/0.0047109/0.388384,0.658444/0.00461921/0.336937,0.619857/0.00481165/0.375331,0.672435/0.00479208/0.322773,0.632873/0.00491239/0.362215,0.672952/0.00489341/0.322155,0.633377/0.0049194/0.361703,0.448357/0.00360859/0.548035,0.61801/0.00392205/0.378068,0.582186/0.00421581/0.413598,0.631223/0.004377/0.3644,0.594589/0.00462841/0.400782,0.645152/0.00452534/0.350323,0.607542/0.00472915/0.387729,0.659143/0.0046982/0.336158,0.620557/0.0048299/0.374613,0.673198/0.00490406/0.321898,0.633636/0.00493064/0.361434,0.448166/0.00389504/0.547939,0.618077/0.0045357/0.377387,0.582295/0.0047604/0.412944,0.632006/0.00468404/0.36331,0.595248/0.00486289/0.399889,0.645997/0.00485691/0.349146,0.608263/0.00496363/0.386773,0.660052/0.00506277/0.334885,0.621342/0.00506438/0.373594,0.451548/0.00456081/0.543891,0.620936/0.00509664/0.373968,0.584962/0.00523739/0.4098,0.634927/0.00526951/0.359803,0.597978/0.00534105/0.396681,0.648982/0.00547537/0.345543,0.611056/0.00544179/0.383502,0.457167/0.00504204/0.537791,0.638823/0.00545405/0.355723,0.601591/0.00548997/0.392919,0.652877/0.00565992/0.341463,0.61467/0.00559509/0.379735,0.463459/0.00557232/0.530969,0.656836/0.00586899/0.337295,0.618346/0.00576066/0.375893,0.470424/0.00616859/0.523407
AKs,0.115126/0.0125579/0.872316,0.0715737/0.906695/0.021731,0.0715737/0.856853/0.0715737,0.732241/0.0444432/0.223316,0.691628/0.0422869/0.266085,0.729313/0.0443344/0.226353,0.689/0.042201/0.268799,0.726385/0.0442256/0.22939,0.686372/0.0421152/0.271513,0.731364/0.0449938/0.223643,0.690578/0.0427126/0.26671,0.728517/0.0450652/0.226418,0.68803/0.0428002/0.269169,0.725671/0.0452001/0.229129,0.685483/0.0429462/0.271571,0.72998/0.0415604/0.228459,0.689481/0.0396104/0.270909,0.715953/0.045298/0.238749,0.676613/0.0431121/0.280274,0.720271/0.0459072/0.233821,0.680612/0.0436377/0.275751,0.72459/0.0466085/0.228802,0.68461/0.0442211/0.271169,0.728908/0.0474135/0.223679,0.688608/0.0448624/0.26653,0.33694/0.00824737/0.654812,0.75015/0.0115279/0.238323,0.708488/0.0115961/0.279916,0.747221/0.0114191/0.24136,0.70586/0.0115102/0.28263,0.744293/0.0113103/0.244397,0.703232/0.0114244/0.285344,0.764221/0.0121363/0.223643,0.721222/0.0120691/0.266709,0.761553/0.012029/0.226418,0.718848/0.0119833/0.269169,0.758945/0.0119256/0.229129,0.716532/0.0118974/0.271571,0.759475/0.0120656/0.228459,0.717073/0.0120177/0.270909,0.763712/0.0125464/0.223742,0.721125/0.0124318/0.266443,0.768447/0.0127386/0.218815,0.725528/0.0125527/0.26192,0.773242/0.0129634/0.213795,0.729988/0.0126736/0.257338,0.778096/0.0132323/0.208672,0.734507/0.0127945/0.252699,0.458318/0.00433422/0.537348,0.662028/0.00483997/0.333132,0.632661/0.0052387/0.3621,0.658826/0.0047185/0.336456,0.629661/0.00514044/0.365199,0.671796/0.00465484/0.323549,0.641956/0.00509474/0.352949,0.680678/0.00453512/0.314787,0.650332/0.00499648/0.344671,0.690214/0.00441978/0.305366,0.65944/0.00489822/0.335661,0.686358/0.00442299/0.309219,0.655804/0.00490479/0.339291,0.689092/0.00489925/0.306008,0.658496/0.00531929/0.336185,0.69265/0.00508905/0.302261,0.661852/0.00543157/0.332717,0.696267/0.00531564/0.298418,0.665266/0.00554385/0.32919,0.699942/0.00559173/0.294466,0.66874/0.00565612/0.325604,0.45751/0.0042034/0.538286,0.646076/0.00463031/0.349293,0.617548/0.0050581/0.377393,0.659047/0.00456665/0.336387,0.629844/0.0050124/0.365143,0.667928/0.00444693/0.327625,0.63822/0.00491414/0.356866,0.677465/0.00433159/0.318204,0.647328/0.00481588/0.347856,0.686352/0.00442941/0.309219,0.655804/0.0049118/0.339284,0.68589/0.00477777/0.309332,0.655495/0.00522104/0.339284,0.689447/0.00496758/0.305585,0.658851/0.00533331/0.335816,0.693064/0.00519417/0.301742,0.662265/0.00544559/0.332289,0.69674/0.00547026/0.29779,0.665739/0.00555786/0.328703,0.457334/0.00407258/0.538594,0.646297/0.00447847/0.349224,0.617732/0.00493005/0.377338,0.655179/0.00435875/0.340463,0.626108/0.00483179/0.36906,0.664715/0.00424341/0.331041,0.635216/0.00473353/0.36005,0.673602/0.00434123/0.322056,0.643692/0.00482946/0.351479,0.685884/0.0047842/0.309332,0.655495/0.00522804/0.339277,0.686245/0.0048461/0.308909,0.65585/0.00523505/0.338915,0.689861/0.0050727/0.305066,0.659265/0.00534733/0.335388,0.693537/0.00534879/0.301114,0.662738/0.0054596/0.331802,0.472171/0.0040977/0.523731,0.655947/0.00434853/0.339704,0.626418/0.00481165/0.368771,0.652922/0.00423319/0.342845,0.623594/0.00471339/0.371692,0.661809/0.00433101/0.33386,0.63207/0.00480931/0.363121,0.67409/0.00477398/0.321136,0.643873/0.0052079/0.350919,0.687194/0.00493049/0.307875,0.65634/0.00530426/0.338355,0.687614/0.00502919/0.307356,0.656754/0.00531126/0.337934,0.69129/0.00530528/0.303405,0.660228/0.00542354/0.334348,0.473256/0.00397038/0.522774,0.64035/0.00414675/0.355503,0.611659/0.00463236/0.383708,0.649237/0.00424457/0.346519,0.620135/0.00472872/0.375136,0.661518/0.00468754/0.333794,0.631939/0.0051273/0.362934,0.674622/0.00484406/0.320534,0.644406/0.00522366/0.350371,0.687786/0.00503736/0.307177,0.656932/0.00532002/0.337748,0.688265/0.00518556/0.30655,0.657405/0.00532703/0.337268,0.474971/0.00385183/0.521177,0.636724/0.00416252/0.359114,0.60826/0.00465119/0.387089,0.649005/0.00460549/0.346389,0.620063/0.00505109/0.374886,0.662109/0.004762/0.333129,0.63253/0.00514745/0.362323,0.675273/0.00495531/0.319772,0.645056/0.00524381/0.3497,0.688495/0.00519811/0.306307,0.657641/0.00534017/0.337019,0.474883/0.00411668/0.521,0.6368/0.00474273/0.358457,0.608362/0.00516731/0.38647,0.649904/0.00489925/0.345197,0.620829/0.0052663/0.373904,0.663068/0.00509255/0.33184,0.633355/0.00536266/0.361282,0.67629/0.00533536/0.318375,0.645941/0.00545902/0.3486,0.477959/0.0047696/0.517271,0.638932/0.00530104/0.355767,0.610564/0.00563656/0.3838,0.652095/0.00549435/0.342411,0.62309/0.0057373/0.371173,0.665317/0.00573715/0.328945,0.635675/0.00583366/0.358491,0.483238/0.00526133/0.511501,0.655712/0.00568415/0.338604,0.626505/0.00589732/0.367598,0.668934/0.00592696/0.325139,0.63909/0.00600025/0.35491,0.489147/0.00582665/0.505026,0.67261/0.00615355/0.321237,0.642564/0.00618523/0.351251,0.495688/0.00649096/0.497821
AQo,0.0661294/0.0130172/0.920853,0.232699/0.0467231/0.720578,0.223316/0.0444432/0.732241,0.0155884/0.968823/0.0155884,0.0217315/0.906694/0.0715743,0.710119/0.0578649/0.232016,0.668973/0.0552871/0.27574,0.706909/0.0577411/0.23535,0.666079/0.0551946/0.278727,0.707573/0.0584911/0.233936,0.666333/0.0558059/0.277861,0.704362/0.0586409/0.236997,0.663447/0.0559856/0.280567,0.705491/0.0589621/0.235546,0.664443/0.0563122/0.279245,0.706152/0.0549547/0.238893,0.665106/0.0526509/0.282243,0.691002/0.0590498/0.249948,0.651111/0.0565782/0.292311,0.695546/0.0597656/0.244689,0.655332/0.0572301/0.287438,0.70009/0.0605663/0.239344,0.659553/0.0579451/0.282502,0.704634/0.0614594/0.233907,0.663774/0.0587232/0.277502,0.279997/0.00422092/0.715782,0.739503/0.0113502/0.249147,0.698474/0.0113011/0.290225,0.626477/0.00467835/0.368845,0.589407/0.00482216/0.405771,0.623023/0.00454402/0.372433,0.586241/0.00471908/0.40904,0.635965/0.00446927/0.359566,0.598387/0.00466944/0.396944,0.645021/0.00433612/0.350643,0.606892/0.00456636/0.388541,0.643173/0.00420603/0.352621,0.605083/0.00446328/0.390454,0.638979/0.00422267/0.356798,0.601224/0.00448869/0.394287,0.642096/0.00471382/0.35319,0.604225/0.00491677/0.390858,0.645929/0.00489837/0.349173,0.607769/0.00503386/0.387197,0.649824/0.00510745/0.345069,0.611377/0.00515095/0.383472,0.653782/0.00534952/0.340868,0.615047/0.00526805/0.379685,0.296521/0.0129862/0.690492,0.72324/0.0147177/0.262043,0.681162/0.0145835/0.304255,0.720029/0.014594/0.265377,0.678259/0.014491/0.30725,0.740818/0.0154522/0.24373,0.69711/0.0151881/0.287702,0.73788/0.0153295/0.24679,0.694527/0.0150956/0.290378,0.750528/0.0163603/0.233112,0.706374/0.0159162/0.27771,0.747152/0.0163864/0.236461,0.703334/0.0159497/0.280717,0.751827/0.016885/0.231288,0.707842/0.0163877/0.27577,0.756896/0.017076/0.226028,0.712596/0.0165152/0.270889,0.762028/0.0172888/0.220683,0.717413/0.0166427/0.265944,0.767223/0.0175309/0.215246,0.722293/0.0167702/0.260937,0.42877/0.00399987/0.56723,0.631652/0.00437276/0.363975,0.594969/0.00456184/0.400469,0.644688/0.00429801/0.351014,0.607202/0.0045122/0.388286,0.653744/0.00416486/0.342092,0.615702/0.00440912/0.379889,0.665064/0.00411332/0.330822,0.62638/0.00437656/0.369244,0.67438/0.00412996/0.321491,0.635013/0.00440153/0.360586,0.674055/0.00448037/0.321465,0.634842/0.00471952/0.360439,0.677887/0.00466491/0.317448,0.638392/0.00483661/0.356771,0.681783/0.00487399/0.313343,0.642006/0.00495371/0.353041,0.685741/0.00511606/0.309143,0.645682/0.0050708/0.349247,0.428589/0.00384336/0.567567,0.631138/0.0041999/0.364662,0.594628/0.00442547/0.400946,0.640193/0.00406674/0.35574,0.603128/0.00432239/0.39255,0.651514/0.0040152/0.344471,0.613806/0.00428983/0.381904,0.660829/0.00403185/0.335139,0.622439/0.0043148/0.373247,0.674043/0.00448679/0.321471,0.634842/0.00472653/0.360432,0.674433/0.00453059/0.321036,0.63522/0.00473353/0.360046,0.678329/0.00473967/0.316932,0.638834/0.00485063/0.356316,0.682287/0.00498174/0.312731,0.64251/0.00496772/0.352522,0.444215/0.00384686/0.551938,0.627385/0.00404864/0.368566,0.59077/0.00429816/0.404932,0.638706/0.0039971/0.357297,0.601448/0.0042656/0.394286,0.644439/0.00401374/0.351548,0.606793/0.00429056/0.388916,0.657652/0.00446869/0.337879,0.619196/0.00470229/0.376102,0.671581/0.00461702/0.323802,0.632149/0.00480303/0.363048,0.672034/0.00468535/0.32328,0.63259/0.00481004/0.3626,0.675993/0.00492743/0.31908,0.636267/0.00492713/0.358806,0.445377/0.00369269/0.550931,0.625345/0.00390015/0.370755,0.58907/0.00417975/0.406751,0.631078/0.0039168/0.365005,0.594408/0.00420501/0.401387,0.644291/0.00437174/0.351337,0.606811/0.00461673/0.388572,0.65822/0.00452008/0.33726,0.619764/0.00471747/0.375519,0.672211/0.00469295/0.323096,0.632779/0.00481822/0.362402,0.672728/0.00479427/0.322477,0.633284/0.00482522/0.361891,0.452802/0.00375605/0.543442,0.622449/0.00392862/0.373622,0.586297/0.00420398/0.409499,0.635663/0.00438357/0.359954,0.5987/0.00461659/0.396683,0.649591/0.00453191/0.345877,0.611652/0.00471733/0.38363,0.663583/0.00470477/0.331712,0.624668/0.00481807/0.370514,0.677638/0.00491064/0.317452,0.637747/0.00491881/0.357335,0.451742/0.00376072/0.544497,0.619069/0.00440138/0.37653,0.58324/0.00463893/0.412121,0.632997/0.00454972/0.362453,0.596193/0.00474142/0.399066,0.646989/0.00472258/0.348288,0.609208/0.00484216/0.38595,0.661044/0.00492845/0.334028,0.622287/0.0049429/0.37277,0.455124/0.00442649/0.54045,0.621927/0.00496232/0.37311,0.585907/0.00511591/0.408977,0.635919/0.00513519/0.358946,0.598923/0.00521958/0.395858,0.649974/0.00534105/0.344685,0.612001/0.00532032/0.382679,0.460743/0.00490771/0.534349,0.639814/0.00531973/0.354866,0.602536/0.0053685/0.392095,0.653869/0.0055256/0.340605,0.615615/0.00547362/0.378912,0.467035/0.00543799/0.527527,0.657827/0.00573467/0.336438,0.619291/0.00563919/0.375069,0.474/0.00603427/0.519966
